establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
FP00577;Laboratorio De Prótesis Dental Anser, S.A.;Calle Gramil Nº 9, 28400 Collado Villalba (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00580;Pedrera Dental, S.L.;Calle San Benito Nº 21, Piso/Puerta esq c/Cañaveras, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00581;Francisco De Borja Martínez  Rodríguez;Calle Yugoslavia Nº 1, Piso/Puerta Bajo A, 28916 Leganés (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00582;Encentrica Dental, S.L.;Calle Casas De Miravete Nº 24A, Piso/Puerta 3º  Local 1, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00583;Cerámica Dental Poveda, S.L.;Calle San Leopoldo Nº 53-55, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00584;José Luis González  Mármol;Plaza La Carolina Nº 33, Piso/Puerta Local A, 28034 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00585;Laboratorio Dental Gómez, S.L.;Avenida Democracia Nº 7, Piso/Puerta 1º - 101, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00586;Pedro Luis Muñoz  Lozoyo;Calle Padre Rubio Nº 30, Piso/Puerta Bajo, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00587;Agladent, S.L.;Avenida Carabanchel Alto Nº 110, Piso/Puerta Local, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00588;Agustín Alonso  Álvarez;Calle Goya Nº 3, 28807 Alcalá De Henares (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00589;Ance Dental, S.L.;Calle Araucaria Nº 22, 28039 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00590;Diana Milena Quintana Pérez;Calle Cardeñosa Nº 5, 28053 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00591;Enident Laboratorio Protésico Dental, S.L.;Calle Juan Francisco Nº 7, Piso/Puerta Local, 28025 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00592;Centro Ortopédico Albufera Vallecas, S.L.;Plaza Mariana Pineda Nº 5, Piso/Puerta Local, 28038 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00593;Establecimientos Ortopédicos Prim, S.A.;Calle Marcelino Camacho Nº 1, 28938 Móstoles (Madrid) Y OTROS;Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00595;Fernando Hita  Gutiérrez;Calle Almansa Nº 49, Piso/Puerta Bajo, 28039 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00596;Florencio Llanos  Martín;Calle Valle De Tobalina Nº 30, Piso/Puerta Nave 7, 28021 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00597;Fresas Y Lecrones, S.L.;Calle Gaztambide Nº 26, Piso/Puerta Local - Bajo H, 28015 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00602;Laboratorio Dental Simón Amselen, S.L.;Calle Canal De Suez Nº 42, Piso/Puerta Local, 28042 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00603;Miguel Ángel García De La Mora  Domínguez;Avenida Ángeles Nº 15, Piso/Puerta Post., 28903 Getafe (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00605;Arriaga Y Muñoz, S.L.;Calle Peña Ubiña Nº 2, Piso/Puerta Local 10, 28053 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00606;Tecnident, C.B.;Calle Hermandad Nº 26, Piso/Puerta Esq. c/ Chimbo, 28025 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00607;Miguel Ángel García  Mantecón;Calle Nuncio Nº 10, Piso/Puerta Local, 28921 Alcorcón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00608;Pan Química Farmacéutica, S.A.;Plaza Santa Catalina De Los Donados Nº 2, Piso/Puerta 2, 28013 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00609;Luis Ernesto Palacios Mayser;Calle Augusto González Besada Nº 22, Piso/Puerta Local, 28030 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00612;Ana Isabel Almagro Pérez;Calle Agatha Christie Nº 1, Piso/Puerta Local 4, 28523 Rivas-Vaciamadrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00614;Anatodent Dental, S.L.;Calle Isla De Gomera Nº 18, 28039 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00616;Basmay Dental, S.L.;Calle Julián Camarillo Nº 23, Piso/Puerta 2º A, 28037 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00617;Belledent, S.L.;Calle Alondra Nº 3, Piso/Puerta Local, 28025 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00618;Centro Dental Ortosán, S.L.;Calle San Romualdo Nº 12-14, Piso/Puerta 3º, 28037 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00619;Centro Ortopédico Artesano, S.L.;Calle Guadaira Nº 14, Piso/Puerta Local, 28018 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00620;Mercedes Clemente  Andrés;Calle Oviedo Nº 3, 28701 San Sebastián De Los Reyes (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00624;De Las Casas Protesis Dental, S.A.;Calle Julián Camarillo Nº 7, Piso/Puerta 3º, 28037 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00625;Dental Creative, S.L.;Calle Pradillo Nº 34, Piso/Puerta Local 1B, 28002 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00626;Dental Reyes, S.L.;Avenida Córdoba Nº 21, Piso/Puerta 3-3ºA, 28026 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00627;Dent Fast, S.L.;Calle Francia Nº 2, Piso/Puerta Local 15, 28224 Pozuelo De Alarcón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00628;Carolina Martos Mendoza;Calle Cerrillo Nº 8, Piso/Puerta Local Bajo A, 28720;Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00630;Especialidades Dentales, S.L.;Calle María Guerrero Nº 3, Piso/Puerta Bajo E, 28019 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00631;Atm-Orto Digital, S.L.;Calle Fermín Caballero Nº 62, Piso/Puerta Local 3, 28034 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00634;Gildoca, S.L.;Calle Serrallo Nº 7, 28039 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00635;Prosac Dental, S.L.;Calle Tarragona Nº 20, Piso/Puerta Local 1 A, 28977 Casarrubuelos (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00636;Henares Prodental, S.L.;Calle Lisboa Nº 2, Piso/Puerta Local 21, 28850 Torrejón De Ardoz (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00637;Zircotecnic-Lab S.L.;Calle Gomera Nº 12, Piso/Puerta 2º A, 28703 San Sebastián De Los Reyes (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00638;Implantecnic, S.L.;Avenida Portugal Nº 32, Piso/Puerta 1º, 28971 Griñón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00640;Juan Carlos Sánchez  Román;Calle Clavelinas Nº 16, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00641;Juan Manuel Sanjuan  Aguilera;Calle Sincelejo Nº 4, Piso/Puerta Local, 28033 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00643;Kimar Dental, S.L.;Calle Carabaña Nº 3, Piso/Puerta Local 3, 28045 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00644;Kromaden Laboratorio Dental, S.L.;Glorieta Primero De Mayo Nº 12, Piso/Puerta Local, 28821 Coslada (Madrid) Y OTROS;Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00645;Laboratorio Bertinio, S.L.;Calle Idioma Esperanto Nº 18, Piso/Puerta Local 2, 28017 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00646;Laboratorio De Prótesis Dental Interdent, S.L.;Calle Berastegui Nº 47, Piso/Puerta Local, 28017 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00647;Laboratorio De Prótesis Dental Riosa, S.L.;Calle Orense Nº 40, Piso/Puerta Bajo, 28223 Pozuelo De Alarcón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00649;Laboratorio Fouchard, S.L.;Calle Bolivia Nº 15, Piso/Puerta Local Post., 28822 Coslada (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00650;Laboratorios Odotek, S.L.;Calle Mártires Concepcionistas Nº 5, Piso/Puerta Bajo Post., 28006 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00654;Martpoll Dentall, S.L.;Calle Rodetas Nº 11, 28694 Chapinería (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00655;Miradom, S.A.;Calle Gabriel Usera Nº 76, 28026 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00656;A. Morente M.L. C.B.C.;Calle Torregrosa Nº 27, Piso/Puerta Local 2 Post., 28043 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00657;Natudent 2000, S.L.;Calle Laguna Del Marquesado Nº 19, Piso/Puerta 1º - 11, 28021 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00658;Ortoaccesible, S.L.;Calle Verdaguer Y García Nº 47, 28027 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00659;Dental Ortodentis Cam, S.L.;Calle Químicas Nº 7, Piso/Puerta P. I. Urtinsa, 28922 Alcorcón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00660;Ortodoncia Madrid, S.L.;Avenida Ciudad De Barcelona Nº 51, Piso/Puerta Nave Patio, 28007 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00663;Ortoproden, S.L.;Calle Puerto Somosierra Nº 35, Piso/Puerta NAVE25, 28935 Móstoles (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00664;Pamadent-Lab, S.L.;Calle Luis I Nº 94, Piso/Puerta 1º- P 1-2, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00666;Prótesis Dental Cuatro, S.L.;Avenida Democracia Nº 7, Piso/Puerta Local 310, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00668;Wannadent Dental, S.L.;Calle Gran Capitán Nº 28, Piso/Puerta Post. - Local 1, 28933 Móstoles (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00669;Carlos Franz Rodríguez  Fábrega;Calle Finisterre Nº 28, Piso/Puerta Local, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00671;Santos Arenal, S.L.;Calle Ignacio Ellacuría Nº 3, Piso/Puerta Local 9, 28017 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00672;Santiago Suárez De Tangil Pérez;Calle Nuestra Señora Del Rosario Nº 4, Piso/Puerta Local, 28701 San Sebastián De Los Reyes (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00673;Trufer Dental, S.L.;Calle Fermín Caballero Nº 89, Piso/Puerta Bajo, 28035 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00674;Venident Dental, S.L.U.;Calle Carlos Solé Nº 46, Piso/Puerta Local 3, 28038 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00675;Tecniden, C.B.;Calle Idioma Esperanto Nº 9, Piso/Puerta Local 2, 28017 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00676;José Ramón Horta  Salas;Calle Maiquez Nº 34, 28009 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00677;Roberto Ojeda Bodas;Avenida Reina Victoria Nº 30, 28003 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00678;Protesis Dental Casado, S.L.;Calle Marqués De Ahumada Nº 11, Piso/Puerta 4º C Y D, 28028 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00679;Ortopedia Barbero, S.L.;Paseo Extremadura Nº 158, 28011 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00680;Ortopedia San José, S.L.;Calle San José Nº 16, 28923 Alcorcón (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00682;José Antonio García  González;Calle Fábricas Nº 3, Piso/Puerta 1, 28923 Alcorcón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00683;Polodent 2008, S.L.;Calle Biosca Nº 29, Piso/Puerta Local, 28043 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00684;Micodent, S.L.;Calle Aguacate Nº 29, Piso/Puerta 4º Local 2, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00685;F.J.R. Dental, S.L.;Calle Aguacate Nº 29, Piso/Puerta 3º 2, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00686;Zamarriego Dental, S.L.;Calle Torrelaguna Nº 36, Piso/Puerta Local 1, 28027 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00687;Oclusal Mesial Distal, S.L.;Calle Aguacate Nº 29, Piso/Puerta 4º-L-3, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00688;José Antonio Barbero  González;Calle Quiñón Nº 11, 28330 San Martín De La Vega (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00689;Pablo Luis Gómez  García;Calle Portugal Nº 37, 28943 Fuenlabrada (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00690;Laboratorio Dental Dient 3 S.L.;Calle Nenúfar Nº 4, Piso/Puerta Pta. Baja, 28039 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00691;Servicios Dentales Hormigueras, S.L.U.;Camino Hormigueras Nº 167, Piso/Puerta Pta.4ª-L.1,2,3, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00692;Laboratorio Podiátrico, S.L.;Calle Minas Nº 65, Piso/Puerta P.I. Urtinsa II, 28922 Alcorcón (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00694;Residentlive Grupo Don Bosco, S.L;Ronda Don Bosco Nº 12, Piso/Puerta Local, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00695;Acudent, S.L.;Calle Río Duero Nº 19, 28935 Móstoles (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00696;Jorge Tarí Robles;Calle Pinos Alta Nº 102, Piso/Puerta Bis, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00697;Prótesis, S.A.;Calle Amorós Nº 9, 28028 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00698;Arfodental S.L.;Calle Belvis De La Jara Nº 17, Piso/Puerta Local, 28025 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00701;Ortopedia Salcedo S.L.;Paseo Marqués De Zafra Nº 15, 28028 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00702;Clínica Dental Goal, S.L.;Calle Joaquín Martínez Borreguero Nº 16, Piso/Puerta Bajo - Local 5, 28019 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00703;Farmacia Roselló;;Fabricante de productos sanitarios a medida;3;Otros
FP00704;Otto Bock Ibérica, S.A.;Calle Majada Nº 1, 28760 Tres Cantos (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00707;Jorge Navío  Sánchez;Calle Ferrocarril Nº 8, Piso/Puerta A, 28450 Collado Mediano (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00709;Ortopedia Alcántara, S.L.;Calle Narciso Serra Nº 8, Piso/Puerta Local B, 28007 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00710;Ortopedia Juan Bravo, S.L.;Calle Juan Bravo Nº 67, Piso/Puerta Local, 28006 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00717;Ángel Luis Romero De Miguel;Calle Marqués De Cubas Nº 25, Piso/Puerta 1º Int. Izda., 28014 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00719;José María Gómez De Segura  Fernández;Calle Fernando El Católico Nº 61, Piso/Puerta Pta. Baja-L.6, 28015 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00721;Liviu Mihai Sin;Avenida Quitapesares Nº 33, Piso/Puerta Pta. B.-10, 28670 Villaviciosa De Odón (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00722;Juan González  Ruíz;Calle Fuentesauco Nº 15, Piso/Puerta L. Dch. 2, 28024 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00724;Korfu Dental, S.L.;Calle Tracia Nº 38, Piso/Puerta 3º, 28037 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00726;Lab. De Prótesis Dental Hermanos Alvaro, S.L.;Paseo Virgen Del Puerto Nº 21, Piso/Puerta 1ºEsc.Dcha.-1ºC, 28005 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00727;Labodent, S.L.;Calle María Guerrero Nº 2, Piso/Puerta Local, 28019 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00728;Laboratorio Cronos S.L.;Calle Antonio Cavero Nº 77, 28043 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00729;Laboratorio De Ortodoncia Carmelo García S.L.;Calle Sanz Raso Nº 57, Piso/Puerta Bajo, 28038 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00730;Laboratorio De Protesis Dental Aguilon, S.L.;Calle Aguilón Nº 5 y 7, 28045 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00731;Laboratorio De Protesis Dental Crown & Bridge, S.L.;Calle Ramón Azorín Nº 24, Piso/Puerta Local, 28047 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00733;Laboratorio De Rehabilitacion Oral Diego Yebra, S.L.;Calle Vía Complutense Nº 87, Piso/Puerta Local Post., 28805 Alcalá De Henares (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00735;Pedro Bravo Albertos;Calle San Isidro Nº 7, 28521 Rivas-Vaciamadrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00736;Laboratorio Dental Cortés Bergmann,  S.L.;Calle Isabel Colbrand Nº 10, Piso/Puerta 5º Pta. 148, 28050 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00737;María José Monge  Nicolás;Calle Morata De Tajuña Nº 4, Piso/Puerta Local 2 Dcha., 28850 Torrejón De Ardoz (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00738;Laboratorio Dental Mecadental, S.L.L.;Calle Oliva De Plasencia Nº 1, Piso/Puerta Local 867, 28044 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00739;Laboratorio Hermanos Reiz, S.L.;Calle Espronceda Nº 13, Piso/Puerta Bajo, 28003 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00740;Laboratorio Horna, S.L.;Calle Altos De Cabrejas Nº 12, 28038 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00741;Laboratorio Prótesis Dental Feliciano Pérez S.L.;Calle San Roque Nº 25, Piso/Puerta Local 1, 28220 Majadahonda (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00745;Laboratorios Risum, S.L.;Calle Valportillo I Nº 13, 28108 Alcobendas (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00746;Laboratorios Sago, S.L.L.;Calle Don Quijote Nº 6, Piso/Puerta Local, 28020 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00749;Loydent S.L.;Calle Arboleda Nº 2, Piso/Puerta Local 413, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00751;Luis Burgos  Aparicio;Calle Jabonería Nº 6, Piso/Puerta Local, 28231 Rozas De Madrid, Las (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00752;Luis Miguel Escobar Martínez, S.L.U.;Calle Francisco Cabo Nº 10, Piso/Puerta Local, 28029 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00753;Luis Oscar Rodríguez  Lalanda;Calle Játiva Nº 10, Piso/Puerta Local 3-Pta.c/, 28007 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00756;Nieves (Farmacia Ortopedia Nieves) Mijimolle Cuadrado;Calle Río Manzanares Nº 15, Piso/Puerta Local, 28913 Leganés (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00757;Mª Rosa Navarro  Bonilla;Sector Pueblos Nº 36, 28760 Tres Cantos (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00758;Mª Victoria Alonso  Recuero;Calle Fuentespina Nº 6, Piso/Puerta Local G1, 28031 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00763;Ducor Labs, S.L.;Calle Reina Victoria Nº 1c, Piso/Puerta Local 1, 28350 Ciempozuelos (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00764;María Mercedes Esteban  Orallo;Paseo Extremadura Nº 168, 28011 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00766;Aduna Global, S.L.;Calle General Pardiñas Nº 46, Piso/Puerta Sótano 6, 28001 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00771;Jaime Martínez Cervera;Calle Antonio Guzmán Nº 6, Piso/Puerta Bajo, 28002 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00772;Medimplante, S.L.;Calle Américas Nº 7, Piso/Puerta Nave C-16, 28823 Coslada (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00775;Melena Dental, S.L.;Calle Río Sella Nº 1, Piso/Puerta Local 2, 28934 Móstoles (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00776;Juan Carlos García  Lasheras;Calle Gabriel Y Galán Nº 38, 28002 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00777;Mónica De Los Ríos  Sanz;Calle Albatros Nº 7, Piso/Puerta Bajo, 28025 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00778;Montesinos Dental, S.L.;Calle Teniente Coronel Noreña Nº 4, Piso/Puerta Local, 28045 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00779;Almudena Cayetana Morales Fuentes;Calle Popayán Nº 7, Piso/Puerta Local, 28033 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00782;Laboratorio Vivanta, S.L.;Calle Conde De Vilches Nº 18, 28028 Madrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00784;Ortocentro Majadahonda, C.B.;Calle Santa Catalina Nº 27, Piso/Puerta 1º A, 28220 Majadahonda (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00786;Ortolusi, S.L.;Calle Fundición Nº 4, Piso/Puerta Bis - 43, 28522 Rivas-Vaciamadrid (Madrid);Fabricante de productos sanitarios a medida;2;Laboratorio de prótesis dental
FP00787;Ortopedia Albufera, S.L.;Calle Cerro Negro Nº 2, Piso/Puerta Local A, 28007 Madrid (Madrid) Y OTROS;Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00789;Establecimientos Ortopédicos Prim,S.A.U.;Calle Ponzano Nº 57, 28003 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00790;Ortopedia Argüelles, S.L.;Calle Platerías Nº 3, 28016 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00791;Ortopedia Bal, S.A. (Ortobalsa);Calle Río Duero Nº 17, 28935 Móstoles (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00795;Ortopedia H2, Fabricacion Y Adaptacion, S.A.L.;Calle Jesús Aprendiz Nº 6, Piso/Puerta Local Dcho., 28009 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00796;María Auxiliadora Aunión  Rubio;Calle Doctor Cirajas Nº 10, 28017 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
FP00797;Ortopedia Miguel Gutierrez, S.L.;Calle Téllez Nº 25, 28007 Madrid (Madrid);Fabricante de productos sanitarios a medida;1;Fabricante ortoprotésico
